#time = 0.2
#left_edge = 0.0
#right_edge = 1.0
x,density,velocity_x,velocity_y,velocity_z,pressure,bfield_x,bfield_y,bfield_z
0.001953125,1.08,1.2,0.01,0.5,0.95,0.5641895835477563,1.0155412503859613,0.5641895835477563
0.005859375,1.08,1.2,0.01,0.5,0.95,0.5641895835477563,1.0155412503859613,0.5641895835477563
0.009765625,1.08,1.2,0.01,0.5,0.95,0.5641895835477563,1.0155412503859613,0.5641895835477563
0.013671875,1.08,1.2,0.01,0.5,0.95,0.5641895835477563,1.0155412503859613,0.5641895835477563
0.017578125,1.08,1.2,0.01,0.5,0.95,0.5641895835477563,1.0155412503859613,0.5641895835477563
0.021484375,1.08,1.2,0.01,0.5,0.95,0.5641895835477563,1.0155412503859613,0.5641895835477563
0.025390625,1.08,1.2,0.01,0.5,0.95,0.5641895835477563,1.0155412503859613,0.5641895835477563
0.029296875,1.08,1.2,0.01,0.5,0.95,0.5641895835477563,1.0155412503859613,0.5641895835477563
0.033203125,1.08,1.2,0.01,0.5,0.95,0.5641895835477563,1.0155412503859613,0.5641895835477563
0.037109375,1.08,1.2,0.01,0.5,0.95,0.5641895835477563,1.0155412503859613,0.5641895835477563
0.041015625,1.08,1.2,0.01,0.5,0.95,0.5641895835477563,1.0155412503859613,0.5641895835477563
0.044921875,1.08,1.2,0.01,0.5,0.95,0.5641895835477563,1.0155412503859613,0.5641895835477563
0.048828125,1.08,1.2,0.01,0.5,0.95,0.5641895835477563,1.0155412503859613,0.5641895835477563
0.052734375,1.08,1.2,0.01,0.5,0.95,0.5641895835477563,1.0155412503859613,0.5641895835477563
0.056640625,1.08,1.2,0.01,0.5,0.95,0.5641895835477563,1.0155412503859613,0.5641895835477563
0.060546875,1.08,1.2,0.01,0.5,0.95,0.5641895835477563,1.0155412503859613,0.5641895835477563
0.064453125,1.08,1.2,0.01,0.5,0.95,0.5641895835477563,1.0155412503859613,0.5641895835477563
