#time = 0.25
#left_edge = 0.0
#right_edge = 1.0
x,density,velocity_x,pressure
0.00390625,1.0,0.0,1.0
0.01171875,1.0,0.0,1.0
0.01953125,1.0,0.0,1.0
0.02734375,1.0,0.0,1.0
0.03515625,1.0,0.0,1.0
0.04296875,1.0,0.0,1.0
0.05078125,1.0,0.0,1.0
0.05859375,1.0,0.0,1.0
0.06640625,1.0,0.0,1.0
0.07421875,1.0,0.0,1.0
0.08203125,1.0,0.0,1.0
0.08984375,1.0,0.0,1.0
0.09765625,1.0,0.0,1.0
0.10546875,1.0,0.0,1.0
0.11328125,1.0,0.0,1.0
0.12109375,1.0,0.0,1.0
0.12890625,1.0,0.0,1.0
0.13671875,1.0,0.0,1.0
0.14453125,1.0,0.0,1.0
0.15234375,1.0,0.0,1.0
0.16015625,1.0,0.0,1.0
0.16796875,1.0,0.0,1.0
0.17578125,1.0,0.0,1.0
0.18359375,1.0,0.0,1.0
0.19140625,1.0,0.0,1.0
0.19921875,1.0,0.0,1.0
0.20703125,0.9920380971210215,0.009450797183269318,0.9888711140554343
0.21484375,0.9703611589371778,0.035492463849935985,0.9587530671686308
0.22265625,0.9490648163888521,0.061534130516602656,0.9294247280251979
0.23046875,0.9281440355637605,0.08757579718326933,0.9008687652758195
0.23828125,0.9075938271336588,0.11361746384993598,0.8730681532071138
0.24609375,0.8874092461560315,0.13965913051660267,0.8460061676812989
0.25390625,0.8675853918757742,0.16570079718326933,0.8196663821119706
0.26171875,0.8481174075268801,0.19174246384993598,0.7940326634758461
0.26953125,0.8290004801341255,0.21778413051660267,0.7690891683603047
0.27734375,0.8102298403147526,0.24382579718326933,0.7448203390465621
0.28515625,0.7918007620801585,0.269867463849936,0.7212108996283273
0.29296875,0.7737085626375779,0.29590913051660267,0.6982458521657678
0.30078125,0.7559486021917691,0.32195079718326935,0.6759104728746295
0.30859375,0.7385162837466992,0.347992463849936,0.6541903083503485
